date,cortarNo,py,change
2025-01,52800,497.0,69.33560477001703
2024-12,52800,293.5,23.839662447257393
2024-09,52800,237.0,-58.05309734513274
2024-08,52800,565.0,35.16746411483253
2024-07,52800,418.0,-26.537785588752193
2024-05,52800,569.0,25.468577728776175
2024-04,52800,453.5,19.735973597359745
2024-03,52800,378.75,-11.764705882352944
2024-02,52800,429.25,2.1010901883052435
2024-01,52800,420.4166666666667,-1.8864255153636655
2023-12,52800,428.5,33.90625000000001
2023-11,52800,320.0,-49.12559618441972
2023-09,52800,629.0,185.90909090909088
2023-08,52800,220.0,-24.006908462867017
2023-07,52800,289.5,39.85507246376812
2023-05,52800,207.0,4.545454545454541
2023-04,52800,198.0,-13.53711790393013
2023-02,52800,229.0,-7.9581993569131875
2022-12,52800,248.8,-3.1906614785992216
2022-11,52800,257.0,-13.758389261744963
2022-08,52800,298.0,-5.276541640178012
2022-07,52800,314.6,-3.733170134638919
2022-06,52800,326.8,101.72839506172839
2022-05,52800,162.0,-44.302554027504904
2022-04,52800,290.85714285714283,46.89754689754688
2022-03,52800,198.0,-35.922330097087375
2022-01,52800,309.0,46.67721518987342
2021-12,52800,210.66666666666666,-20.428076802014484
2021-10,52800,264.75,14.362850971922247
2021-09,52800,231.5,19.483870967741936
2021-08,52800,193.75,-31.657848324514994
2021-07,52800,283.5,38.970588235294116
2021-06,52800,204.0,-33.333333333333336
2021-05,52800,306.0,59.375
2021-04,52800,192.0,-32.3943661971831
2021-03,52800,284.0,10.9375
2021-02,52800,256.0,-25.725338491295947
2021-01,52800,344.6666666666667,41.11224837939271
2020-11,52800,244.25,157.10526315789474
2020-10,52800,95.0,-65.70397111913357
2020-09,52800,277.0,-7.8202995008319505
2020-08,52800,300.5,52.53807106598985
2020-07,52800,197.0,-45.84192439862543
2020-06,52800,363.75,19.733377221856486
2020-05,52800,303.8,0.9912360229676676
2020-04,52800,300.8181818181818,11.74523841685804
2020-03,52800,269.2,-10.366259711431736
2020-02,52800,300.3333333333333,44.971842316975064
2020-01,52800,207.16666666666666,-21.602018290760018
2019-12,52800,264.25,26.133651551312642
2019-11,52800,209.5,-9.044862518089724
2019-10,52800,230.33333333333334,-10.723514211886298
2019-09,52800,258.0,23.150357995226734
2019-08,52800,209.5,-35.25957972805934
2019-07,52800,323.6,16.823104693140813
2019-06,52800,277.0,48.128342245989295
2019-05,52800,187.0,-47.76536312849162
2019-04,52800,358.0,22.462941847206388
2019-03,52800,292.3333333333333,12.220089571337155
2019-02,52800,260.5,29.601990049751237
2019-01,52800,201.0,-29.225352112676063
2018-12,52800,284.0,2.5270758122743597
2018-11,52800,277.0,-5.621805792163547
2018-10,52800,293.5,56.95187165775402
2018-09,52800,187.0,34.05017921146953
2018-08,52800,139.5,8.984375
2018-07,52800,128.0,-65.12261580381471
2018-06,52800,367.0,56.17021276595744
2018-05,52800,235.0,43.292682926829265
2018-04,52800,164.0,-16.326530612244895
2018-03,52800,196.0,19.999999999999996
2018-02,52800,163.33333333333334,-20.967741935483865
2018-01,52800,206.66666666666666,33.76483279395901
2017-12,52800,154.5,-38.034759358288774
2017-11,52800,249.33333333333334,10.81481481481481
2017-09,52800,225.0,-3.0172413793103425
2017-08,52800,232.0,-10.077519379844958
2017-07,52800,258.0,-6.859205776173283
2017-06,52800,277.0,25.718608169440227
2017-05,52800,220.33333333333334,-20.600600600600593
2017-04,52800,277.5,-17.199488491048598
2017-03,52800,335.14285714285717,35.411255411255425
2017-02,52800,247.5,15.87078651685394
2017-01,52800,213.6,17.68595041322314
2016-12,52800,181.5,-18.973214285714292
2016-11,52800,224.0,14.724711907810505
2016-10,52800,195.25,-2.375000000000005
2016-09,52800,200.0,-29.824561403508774
2016-08,52800,285.0,-7.467532467532467
2016-06,52800,308.0,24.068479355488414
2016-05,52800,248.25,20.509708737864084
2016-04,52800,206.0,-19.844357976653693
2016-03,52800,257.0,1.4807502467917066
2016-02,52800,253.25,15.428441203281684
2016-01,52800,219.4,-20.21818181818181
2015-12,52800,275.0,22.76785714285714
2015-11,52800,224.0,-4.680851063829783
2015-10,52800,235.0,5.286738351254483
2015-09,52800,223.2,80.72874493927125
2015-08,52800,123.5,-37.84599899345748
2015-07,52800,198.7,-7.0409356725146255
2015-06,52800,213.75,-8.614792646430104
2015-05,52800,233.9,3.8667805294620106
2015-04,52800,225.19230769230768,-21.63507166670723
2015-03,52800,287.3636363636364,44.97044435385242
2015-02,52800,198.22222222222223,-10.30668677727501
2015-01,52800,221.0,10.499999999999998
2014-12,52800,200.0,-1.9607843137254943
2014-11,52800,204.0,-4.28152492668622
2014-10,52800,213.125,-17.393410852713174
2014-09,52800,258.0,40.21739130434783
2014-07,52800,184.0,-13.918128654970763
2014-06,52800,213.75,41.556291390728475
2014-05,52800,151.0,-38.19918144611187
2014-04,52800,244.33333333333334,21.031991744066048
2014-03,52800,201.875,-20.591127622377627
2014-02,52800,254.22222222222223,22.812667740203985
2014-01,52800,207.0,-5.371428571428572
2013-12,52800,218.75,5.647974242017706
2013-11,52800,207.05555555555554,-9.424516379896964
2013-10,52800,228.6,-2.1404109589041043
2013-09,52800,233.6,-26.771159874608152
2013-08,52800,319.0,75.56411667583932
2013-07,52800,181.7,-27.32
2013-06,52800,250.0,1.8033740546829602
2013-05,52800,245.57142857142858,16.29270492727477
2013-04,52800,211.16666666666669,18.259246295648126
2013-03,52800,178.5625,38.95914396887159
2013-02,52800,128.5,-37.49131341209172
2013-01,52800,205.57142857142856,-12.985638699924419
2012-12,52800,236.25,6.632397191574735
2012-11,52800,221.55555555555554,75.14273166447079
2012-10,52800,126.5,-22.43229432805314
2012-09,52800,163.08333333333331,-15.675629093416077
2012-08,52800,193.4,-10.807071483474251
2012-07,52800,216.83333333333334,-13.55481727574751
2012-06,52800,250.83333333333334,39.64277429830667
2012-05,52800,179.625,-22.240259740259738
2012-04,52800,231.0,11.106252732837785
2012-03,52800,207.9090909090909,-28.91996891996892
2012-02,52800,292.5,78.6259541984733
2012-01,52800,163.75,-24.916631929970823
2011-11,52800,218.0909090909091,26.858502621953882
2011-10,52800,171.91666666666669,-18.90723270440251
2011-09,52800,212.0,-5.1454138702460845
2011-08,52800,223.5,22.131147540983598
2011-07,52800,183.0,0.48043925875085325
2011-06,52800,182.125,24.56033219345384
2011-05,52800,146.21428571428572,-21.147919876733432
2011-04,52800,185.42857142857144,42.227092179153544
2011-03,52800,130.375,-13.694662805130331
2011-02,52800,151.0625,-34.32065217391305
2011-01,52800,230.0,-18.439716312056742
2024-10,52790,282.0,-45.02923976608187
2024-08,52790,513.0,29.54545454545454
2024-07,52790,396.0,-45.75342465753425
2024-06,52790,730.0,-9.316770186335399
2024-04,52790,805.0,45.04504504504505
2024-03,52790,555.0,114.28571428571428
2024-01,52790,259.0,-46.48760330578512
